date,coral_id,bouyantweight_g,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,density_aragonite,wound,fish,density_stopper,density_sw,dry_mass,coral_vol,dry_mass_delta,vol_delta
20240813,105,16.2373,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,24.49179025,12.60838982,0.967090557,0.728792783
20240813,106,15.1493,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,22.85068811,11.76354936,0.913001035,0.685570616
20240813,107,11.1064,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,16.75251546,8.624206041,0.676308137,0.506258282
20240813,108,13.6023,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,20.517246,10.56229182,0.591911756,0.496194763
20240813,109,12.2296,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,18.44671208,9.496379583,0.664716641,0.515553647
20240813,110,19.6353,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,29.61721771,15.24696327,1.108599093,0.881448109
20240813,111,12.4017,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,18.70630186,9.630016572,0.59285046,0.480259704
20240813,112,22.4898,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,33.92284828,17.46350474,1.236568813,0.955512567
20240813,113,17.9351,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,27.05269394,13.92674474,1.141916767,0.843608853
20240813,114,7.8947,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,11.90809657,6.130295994,0.573603941,0.408511437
20240813,115,24.2549,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,36.585265,18.83411863,1.395378351,1.062858768
20240813,116,13.182,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,19.8832798,10.2359256,0.793565554,0.617639993
20240813,117,11.3686,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,No Fish,2.234334206,0.987500554,17.14800901,8.827806381,0.718760168,0.550710881
20240813,118,10.7944,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,16.28190529,8.381935612,0.696151436,0.512384783
20240813,119,15.2443,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,22.99398287,11.8373176,0.951569667,0.732038154
20240813,120,22.9864,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,34.67190281,17.8491185,1.218511342,0.990262325
20240813,121,14.2154,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,21.44202516,11.03836874,0.842899363,0.636068564
20240813,122,18.9906,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,Fish,2.234334206,0.987500554,28.64477419,14.7463487,0.882474514,0.722135981
20240813,123,11.9137,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,17.97021928,9.251080774,0.669828275,0.513909287
20240813,124,19.4409,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,29.32399137,15.09601016,1.143563755,0.865074282
20240813,125,11.7152,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,17.67080864,9.096943979,0.859336955,0.610471576
20240813,126,12.6297,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,19.05020929,9.807060347,0.771130824,0.576775245
20240813,127,18.748,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,Fish,2.234334206,0.987500554,28.27884461,14.55796792,1.200206863,0.885267614
20240813,128,13.3703,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,No Wound,Fish,2.234334206,0.987500554,20.16730511,10.38214201,0.671856082,0.534901054
20240813,129,11.3126,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Small,No Fish,2.234334206,0.987500554,17.06354051,8.784321946,0.727990243,0.53615433
20240813,130,13.488,23.8,47.3708,26.6,26.2437,26.4,26.4345,2.93,Large,No Fish,2.234334206,0.987500554,20.34483978,10.47353698,0.879225271,0.667271889
